date,season,pokemon_key,pokemon_name,rank
2026-04-24,1,0445-00,ガブリアス,1
2026-04-24,1,0730-00,アシレーヌ,2
2026-04-24,1,0006-00,リザードン,3
2026-04-24,1,0823-00,アーマーガア,4
2026-04-24,1,1018-00,ブリジュラス,5
2026-04-24,1,0450-00,カバルドン,6
2026-04-24,1,0094-00,ゲンガー,7
2026-04-24,1,0212-00,ハッサム,8
2026-04-24,1,0681-00,ギルガルド,9
2026-04-24,1,0149-00,カイリュー,10
2026-04-24,1,0908-00,マスカーニャ,11
2026-04-24,1,0983-00,ドドゲザン,12
2026-04-24,1,0902-00,イダイトウ (オス),13
2026-04-24,1,0778-00,ミミッキュ,14
2026-04-24,1,0428-00,ミミロップ,15
2026-04-24,1,0635-00,サザンドラ,16
2026-04-24,1,0479-02,ウォッシュロトム,17
2026-04-24,1,0970-00,キラフロル,18
2026-04-24,1,0197-00,ブラッキー,19
2026-04-24,1,0655-00,マフォクシー,20
2026-04-24,1,0448-00,ルカリオ,21
2026-04-24,1,0154-00,メガニウム,22
2026-04-24,1,0130-00,ギャラドス,23
2026-04-24,1,0658-00,ゲッコウガ,24
2026-04-24,1,0115-00,ガルーラ,25
2026-04-24,1,0670-05,フラエッテ (えいえん),26
2026-04-24,1,0003-00,フシギバナ,27
2026-04-24,1,0903-00,オオニューラ,28
2026-04-24,1,0637-00,ウルガモス,29
2026-04-24,1,0036-00,ピクシー,30
2026-04-24,1,0479-01,ヒートロトム,31
2026-04-24,1,0248-00,バンギラス,32
2026-04-24,1,0121-00,スターミー,33
2026-04-24,1,0887-00,ドラパルト,34
2026-04-24,1,0700-00,ニンフィア,35
2026-04-24,1,0911-00,ラウドボーン,36
2026-04-24,1,0748-00,ドヒドイデ,37
2026-04-24,1,0956-00,クエスパトラ,38
2026-04-24,1,0184-00,マリルリ,39
2026-04-24,1,0279-00,ペリッパー,40
2026-04-24,1,0939-00,ハラバリー,41
2026-04-24,1,0473-00,マンムー,42
2026-04-24,1,0143-00,カビゴン,43
2026-04-24,1,0660-00,ホルード,44
2026-04-24,1,0395-00,エンペルト,45
2026-04-24,1,0009-00,カメックス,46
2026-04-24,1,0071-00,ウツボット,47
2026-04-24,1,0530-00,ドリュウズ,48
2026-04-24,1,0937-00,ソウブレイズ,49
2026-04-24,1,0227-00,エアームド,50
2026-04-25,1,0445-00,ガブリアス,1
2026-04-25,1,0730-00,アシレーヌ,2
2026-04-25,1,0006-00,リザードン,3
2026-04-25,1,0823-00,アーマーガア,4
2026-04-25,1,1018-00,ブリジュラス,5
2026-04-25,1,0450-00,カバルドン,6
2026-04-25,1,0094-00,ゲンガー,7
2026-04-25,1,0212-00,ハッサム,8
2026-04-25,1,0681-00,ギルガルド,9
2026-04-25,1,0149-00,カイリュー,10
2026-04-25,1,0908-00,マスカーニャ,11
2026-04-25,1,0902-00,イダイトウ (オス),12
